Gene	GSE59071 p (Corr)  [UC]vs [Not IBD]	GSE59071 LOG2FC ([UC] vs [Not IBD]) 	GSE59071 [UC] vs [Not IBD] 
AQP8	5.38E-24	-5.57815876584655	Down
HMGCS2	2.25E-19	-4.80325131068664	Down
SLC26A2	1.34E-22	-4.5956539815211	Down
UGT2A3	4.28E-22	-4.41513324121947	Down
CLDN8	3.92E-13	-3.88492490866217	Down
ABCG2	7.03E-21	-3.86786530326027	Down
PCK1	8.31E-17	-3.82216566501813	Down
TMIGD1	1.09E-12	-3.74274981351947	Down
OTOP2	1.96E-17	-3.42352883884319	Down
GUCA2A	1.29E-11	-3.33761388088642	Down
MT1M	1.34E-22	-3.33496744010977	Down
UGT2A3	4.49E-26	-3.31905120881927	Down
BMP3	6.53E-21	-3.24218485946053	Down
CYP2B6	1.61E-16	-3.20460946528192	Down
MEP1B	9.45E-13	-3.20191588063792	Down
CA1	1.11E-07	-3.17427949724166	Down
PADI2	3.35E-21	-3.16118647434789	Down
ADH1C	4.92E-13	-3.15861308730246	Down
SLC30A10	1.92E-14	-3.11018941672229	Down
TRPM6	3.61E-16	-3.08645338769287	Down
CWH43	2.28E-13	-3.04027620884755	Down
CHP2	9.50E-17	-3.00918093864974	Down
SLC17A4	1.54E-14	-2.93368670695895	Down
B4GALNT2	5.19E-15	-2.85902784163546	Down
GUCA2B	9.06E-18	-2.8282975525247	Down
MS4A12	5.94E-06	-2.75145792057989	Down
ABCB1	4.27E-20	-2.73748652931192	Down
APOBEC3B	1.95E-21	-2.60111242788755	Down
ACSF2	5.53E-24	-2.57769005492937	Down
CD177	1.21E-06	-2.57592445601127	Down
TMEM236	9.30E-11	-2.52325526551896	Down
TMEM236	9.30E-11	-2.52325526551896	Down
HEPACAM2	5.94E-08	-2.44738743649647	Down
SLC16A9	1.12E-12	-2.41117211722611	Down
BRINP3	1.62E-15	-2.40720096469187	Down
PPARGC1A	4.71E-18	-2.39781860646764	Down
DHRS11	1.82E-15	-2.39605555495991	Down
PHLPP2	3.02E-20	-2.37349316954415	Down
ZG16	3.17E-06	-2.32788225712393	Down
BEST4	2.25E-09	-2.3256387995601	Down
SLC22A5	2.52E-22	-2.31733489012322	Down
PBLD	4.94E-16	-2.3071094492982	Down
ZG16	6.04E-06	-2.26166975581781	Down
ENTPD5	3.77E-16	-2.23300942345962	Down
MEP1A	3.48E-08	-2.21442904252927	Down
CDHR1	1.88E-12	-2.2079873257427	Down
BEST2	1.74E-10	-2.20255147966305	Down
EXPH5	2.52E-13	-2.17894740669367	Down
SLC51B	4.22E-14	-2.13807768351341	Down
HAVCR1	1.79E-14	-2.12903057435047	Down
LRRC19	6.79E-09	-2.12377818067226	Down
ANPEP	3.81E-06	-2.11398242143495	Down
MT1F	8.64E-17	-2.10847629932764	Down
CD177	4.48E-06	-2.08368745526205	Down
SLC10A5	1.44E-11	-2.06535565058494	Down
SGK2	3.25E-16	-2.06336084315566	Down
TMEM63C	3.88E-22	-2.06285685325427	Down
TMEM56	3.76E-14	-2.0620288865257	Down
CAPN13	2.20E-14	-2.06160286232211	Down
FGFR2	1.50E-21	-2.05980703893488	Down
RPS6KA6	7.29E-18	-2.0532429168629	Down
CNTN3	3.37E-17	-2.04945236530587	Down
PAQR5	7.60E-20	-2.03752837327765	Down
SELENBP1	3.26E-13	-2.03346625682427	Down
CKB	1.10E-08	-2.03244025785371	Down
CA7	7.01E-07	-2.0209146666601	Down
CLCA1	0.006754223190014	-2.00720427020913	Down
HSD17B2	5.09E-14	-1.96568897279726	Down
MCOLN2	2.90E-12	-1.95510148182091	Down
FMO5	2.15E-11	-1.95058830693957	Down
SULT1A2	3.57E-13	-1.94160519634946	Down
SLC35G1	1.84E-22	-1.93826318117953	Down
MT1G	1.01E-14	-1.93532536442395	Down
PIGZ	8.85E-11	-1.92318099119025	Down
SLC26A3	5.71E-05	-1.91941038313134	Down
TUBAL3	3.26E-13	-1.91507286824543	Down
SLC16A1	5.15E-14	-1.90009691332201	Down
SLC9A2	2.56E-10	-1.89919190886847	Down
CDKN2B	4.93E-19	-1.8909205824422	Down
RMDN2	6.79E-24	-1.88797227026057	Down
SLC4A4	6.25E-09	-1.88590842929158	Down
NXPE4	1.18E-05	-1.85419051244542	Down
PDK2	3.20E-22	-1.84772223872496	Down
PLCD1	1.34E-22	-1.84616441587262	Down
NXPE2	1.88E-10	-1.83971805705424	Down
ENPP1	5.98E-14	-1.80539088682511	Down
MEP1A	2.89E-11	-1.80269937680204	Down
WDR78	4.74E-24	-1.7940183566441	Down
RNF152	6.43E-15	-1.79114064077167	Down
MIER3	1.07E-16	-1.78626065716116	Down
ADH6	8.33E-12	-1.77469837561973	Down
TMEM37	5.33E-11	-1.76985444394071	Down
RHOU	4.28E-22	-1.765771629287	Down
PKIB	2.00E-15	-1.76472956478328	Down
SLC39A5	2.91E-10	-1.76117993583226	Down
VIPR1	8.80E-12	-1.76010883680141	Down
NAAA	1.12E-15	-1.75770342807274	Down
GLRA2	3.33E-13	-1.74248339409564	Down
TINAG	2.30E-10	-1.73624622673327	Down
MAOA	3.90E-11	-1.72848201757939	Down
RUNDC3B	1.09E-24	-1.72794085740955	Down
CDC14A	6.99E-24	-1.72481707815854	Down
EPHX2	5.59E-15	-1.7247697449847	Down
ETFDH	1.37E-21	-1.71908791041753	Down
ACOX1	4.28E-22	-1.71454447426586	Down
SLC19A3	6.79E-24	-1.70988802676598	Down
