Gene	p (Corr)  [UC]vs [Not IBD]	FC ([UC] vs [Not IBD]) 	[UC] vs [Not IBD] 
AQP8	2.00E-15	-267.11963	down
HMGCS2	1.16E-19	-25.859375	down
SLC26A2	7.02E-28	-29.516739	down
UGT2A3	1.16E-13	-13.059247	down
CLDN8	3.76E-13	-56.5534	down
ABCG2	1.10E-25	-18.512316	down
PCK1	1.87E-16	-22.187561	down
TMIGD1	5.16E-15	-17.173126	down
OTOP2	7.52E-12	-16.995977	down
GUCA2A	1.41E-15	-13.521288	down
MT1M	1.83E-15	-7.179415	down
BMP3	1.94E-26	-27.57693	down
CYP2B6	5.70E-06	-2.181617	down
MEP1B	7.93E-09	-3.1905057	down
CA1	3.01E-14	-35.381344	down
PADI2	1.24E-28	-10.11199	down
ADH1C	2.38E-14	-9.500257	down
SLC30A10	1.05E-15	-7.5056953	down
TRPM6	1.50E-18	-9.833014	down
CWH43	2.11E-11	-5.523325	down
CHP2	1.62E-18	-14.971572	down
SLC17A4	2.05E-10	-3.45852	down
B4GALNT2	5.16E-06	-2.6688342	down
GUCA2B	2.62E-13	-14.13307	down
MS4A12	4.90E-06	-3.6873941	down
ABCB1	4.40E-25	-6.3548427	down
APOBEC3B	1.40E-15	-3.0116813	down
ACSF2	3.74E-15	-2.875145	down
CD177	5.50E-06	-4.644355	down
TMEM236	3.03E-12	-4.738106	down
HEPACAM2	6.60E-12	-4.7823462	down
SLC16A9	6.58E-18	-5.7227483	down
BRINP3	6.58E-09	-6.5853224	down
PPARGC1A	3.16E-15	-4.318951	down
DHRS11	4.78E-18	-4.7025847	down
PHLPP2	8.38E-22	-3.948192	down
ZG16	3.14E-09	-4.130106	down
BEST4	3.87E-08	-5.504741	down
SLC22A5	3.32E-20	-3.308611	down
PBLD	2.48E-16	-3.083014	down
ENTPD5	1.06E-23	-5.0608144	down
MEP1A	4.99E-22	-6.134433	down
CDHR1	9.75E-07	-3.3132508	down
BEST2	3.11E-06	-2.929223	down
EXPH5	3.93E-12	-3.4983366	down
SLC51B	1.36E-16	-3.3493364	down
HAVCR1	8.24E-17	-8.463223	down
LRRC19	4.29E-18	-3.7240138	down
ANPEP	1.54E-08	-2.8416626	down
MT1F	4.88E-20	-5.365395	down
SLC10A5	5.18E-07	-2.2092426	down
SGK2	5.69E-18	-3.9398289	down
TMEM63C	5.35E-21	-5.460887	down
TMEM56	6.66E-15	-2.9467914	down
CAPN13	4.89E-12	-5.3545794	down
FGFR2	6.84E-08	-2.011778	down
RPS6KA6	1.72E-16	-3.0995305	down
CNTN3	1.37E-05	-3.1516705	down
PAQR5	4.26E-24	-3.391277	down
SELENBP1	4.01E-15	-4.4129524	down
CKB	1.17E-13	-5.857375	down
CA7	4.19E-07	-4.1100745	down
CLCA1	5.19E-04	-3.624267	down
HSD17B2	3.43E-26	-3.809202	down
MCOLN2	5.32E-12	-2.3490207	down
FMO5	9.07E-20	-3.8883166	down
SULT1A2	3.78E-13	-5.469546	down
SLC35G1	1.26E-29	-3.8806632	down
MT1G	3.63E-11	-5.2370467	down
PIGZ	2.07E-14	-3.116853	down
SLC26A3	1.70E-11	-5.2421103	down
TUBAL3	3.60E-17	-4.2616754	down
SLC16A1	4.48E-37	-5.481204	down
SLC9A2	2.35E-15	-3.6491425	down
CDKN2B	5.46E-19	-4.3837214	down
RMDN2	3.25E-18	-2.5237553	down
SLC4A4	3.83E-15	-4.8673277	down
NXPE4	4.96E-09	-3.2466383	down
PDK2	1.10E-24	-2.7600448	down
PLCD1	2.07E-13	-2.418607	down
NXPE2	1.98E-05	-2.1929016	down
ENPP1	4.89E-12	-2.213563	down
WDR78	5.99E-12	-2.3987212	down
RNF152	4.06E-19	-3.5521948	down
MIER3	1.05E-10	-2.1932158	down
ADH6	4.18E-08	-2.0614278	down
TMEM37	2.81E-11	-2.5170257	down
RHOU	1.25E-23	-3.8496277	down
PKIB	1.15E-15	-3.5981913	down
SLC39A5	2.76E-12	-3.0027325	down
VIPR1	4.57E-09	-2.8101387	down
NAAA	5.21E-19	-2.5760548	down
GLRA2	4.82E-18	-15.303172	down
TINAG	6.92E-12	-2.1360362	down
MAOA	4.87E-14	-3.6103938	down
RUNDC3B	1.17E-30	-5.561025	down
CDC14A	2.86E-18	-2.5168028	down
EPHX2	2.34E-18	-3.1237814	down
ETFDH	4.67E-17	-1.9563291	down
ACOX1	2.99E-21	-2.547852	down
SLC19A3	6.81E-16	-2.84459	down
GHR	1.43E-23	-4.038081	down
VLDLR	1.51E-20	-4.4713154	down
ACAT1	2.19E-25	-2.4438384	down
LRRC31	2.08E-13	-3.0905914	down
SLC6A19	4.21E-25	-66.21311	down
SLC13A2	2.79E-13	-10.153584	down
PRLR	1.47E-14	-3.8793817	down
RAVER2	7.90E-14	-2.3583438	down
TSPAN7	2.01E-24	-3.697973	down
PPP2R3A	8.90E-20	-2.7997339	down
FMO4	9.03E-11	-1.9641349	down
ACVR1C	3.33E-09	-2.6428971	down
DPP10	2.11E-16	-11.900064	down
XPNPEP2	8.25E-10	-3.25963	down
EFNA1	4.71E-19	-2.886206	down
UGT1A8	1.15E-16	-8.986267	down
ARHGAP44	3.62E-15	-3.151567	down
GXYLT2	5.03E-16	-2.5880315	down
TMEM171	5.94E-14	-2.5393562	down
CA2	8.77E-15	-5.802797	down
PTPRR	1.71E-11	-2.4078474	down
FABP1	3.91E-18	-5.7356076	down
SLC36A1	3.86E-27	-3.7179127	down
NAALADL1	4.34E-21	-2.4874074	down
RAPGEFL1	1.60E-09	-2.1757896	down
A1CF	5.46E-08	-2.1199996	down
CPA6	1.92E-18	-4.861492	down
USP2	2.12E-05	-2.2441971	down
SCNN1B	9.84E-08	-2.6068246	down
MOGAT2	2.64E-10	-2.764757	down
METTL7B	8.33E-16	-2.7029686	down
CROT	1.74E-06	-1.5251663	down
FRMD1	7.88E-10	-4.1956816	down
PTGDR	2.91E-06	-2.0345106	down
SLC3A1	1.43E-18	-5.9123707	down
SLC37A2	2.33E-15	-3.3177843	down
B3GALT1	4.79E-08	-2.569778	down
REP15	1.64E-06	-2.2538948	down
